Tabula.Muris	Takemon	Ruscetti	Zamudio	Segura	Casella	Basisty
	Ighg2b					BDH2
	Ighg3					UGDH
	Ighm					RPL11
	Ighv1-82					ME2
	Ighv5-17					VAT1
	Ighv6-6					STRBP
	Ighv9-4					TUFM
	Igkc					USO1
	Igkv1-117					VTN
	Igkv14-126					SNX2
	Igkv5-39					HTRA1
	Igkv8-30					DDRGK1
	Il16					C21orf33
	Impdh2					RAB15
	Inpp5d					CORO1B
	Itga2					ILK
	Itgb2					PGM2L1
	Itgb3					TUBA4A
	Jchain					RAN
	Katnb1					CRIP2
	Kynu					PSMC2
	Lcn2					LRRC47
	Lcp1					TUBB4A
	Lmcd1					TES
	Lrg1					ACTC1
	Lrp1					SNRPE
	Lsp1					CAPNS1
	Lxn					TMED10
	Ly6e					MYLK
	Lyz2					FLOT1
	Mad2l1					MYOF
	Mapk12					RAB6A
	Mapk13					RAB6B
	Marcks					PSMD7
	Mbnl1					ACTBL2
	Mcam					STC2
	Mcm2					TPD52L2
	Mcm3					SDHB
	Mcm4					PDLIM4
	Mfge8					UBE2V1
	Mical1					DPYSL2
	Mknk1					PPP1R7
	Mlkl					UBA1
	Mrc1					HSPA1A
	Mrc2					HSPA1B
	Msn					FBL
	Mt2					MAP4
	Mthfd1l					H2AFY
	Mthfd2					RPL14
	Myd88					SFPQ
	Myo1f					SEC31A
	Myo1g					CLTC
	Mzb1					RPL4
	Naaa					RPL18A
	Nckap1l					ATP5A1
	Necap2					FLOT2
	Nectin2					CSRP1
	Nphs1					MYL12B
	Nrbp2					MYL12A
	Nt5c					FAM129A
	Nudt16					RAB33B
	Olfml3					PLEC
	Pacsin1					S100A11
	Pafah1b3					MPST
	Parp10					GSTO1
	Pcna					GUK1
	Pdlim1					DSTN
	Pgd					ARPC1B
	Pglyrp2					RPL5
	Pigr					POTEF
	Pir					GAA
	Pla2g15					POLR3C
	Plcb2					UGP2
	Pld4					SEC22B
	Plek					PICALM
	Plekho2					MACF1
	Pltp					DLST
	Ppp1r18					PPP1CA
	Prdx4					TUBA1C
	Pros1					DCN
	Prpf39					GLRX
	Psmb10					CBR1
	Psmb8					RPL7A
	Psmb9					PTGR1
	Psme1					KRT86
	Pspc1					KRT83
	Ptk7					KRT81
	Ptp4a2					CAPG
	Ptpn6					POTEJ
	Ptprc					PTER
	Pygb					NCSTN
	Rab12					COPG1
	Rab4b					SCIN
	Rac2					
	Rap2b					
	Rbm3					
	Rcc1l					
	Rcc2					
	Rcn1					
	Rcn3					
	Reep6					
	Rel					
	Rela					
	Rftn1					
	Rgl2					
	Rgs10					
	Rhob					
	Rpa2					
	Rpl34					
	Rpl38					
	Rpl8					
	Rps10					
	Rps27					
	Rrm1					
	S100a9					
	Samhd1					
	Sbno2					
	Sept6					
	Serpina1a					
	Serpina3n					
	Serpinb6a					
	Serpinb6b					
	Serpinb9					
	Serpine2					
	Serpinf1					
	Serping1					
	Sh3bgrl3					
	Sh3bp1					
	Sh3kbp1					
	Sh3pxd2b					
	Slc34a2					
	Slc7a6os					
	Slco2a1					
	Slpi					
	Smyd5					
	Sncg					
	Spon1					
	Stab1					
	Sumo2					
	Swap70					
	Syk					
	Tagln					
	Tagln2					
	Tax1bp3					
	Tgfbi					
	Thbd					
	Tor3a					
	Tpm1					
	Tpm1					
	Tpm2					
	Tpm4					
	Tppp3					
	Tprgl					
	Trf					
	Trim21					
	Twf2					
	Txndc5					
	Uba7					
	Ubash3b					
	Ube2l6					
	Unc119					
	Upp1					
	Vars					
	Vasp					
	Vat1					
	Vav1					
	Vcam1					
	Vim					
	Vps25					
	Wdfy4					
	Wfdc2					
	Xdh					
	Ywhaq					
