Li_eGFR_500	Li_UACR_500	Li_eGFR_Monogenic	Li_UACR_Monogenic	Sheng_eGFR	Sheng_SBP	Sheng_Kidney_Function	Cippa_Acute_Injury	Cippa_Acute_Early_TF	Cippa_Acute_Mouse_Overlap	Cippa_Late_Fibrosis	Cippa_Late_Recovery	Cippa_Mid_Acute	Cippa_Late	Cippa_Late_Mouse_Overlap	Cippa_Late_TF	Cippa_Fibrosis_Branch	Cippa_Acute_Human_Specific	Cippa_Late_Human_Specific
													NFKBIZ			SULT1C2		
													ZWILCH			CYB561D2		
													EXT1			RPUSD4		
													EMP1			ZBTB43		
													IGFBP6			FNDC3B		
													HSP90AA1			NIPSNAP3A		
													SSPN			MIER1		
													INMT			GIMAP5		
													FMOD			SLC35A5		
													SERPINF1			PRMT2		
													THBS1			PQBP1		
													SLC29A1			CEACAM1		
													DEGS1			TM2D1		
													RBM3			SELENOT		
													ANTXR1			SEMA5A		
													EMP3			TMUB2		
													ZNF25			TSG101		
													TMEM87B			AHCYL1		
													VASP			SND1		
													TMSB4XP8			CAPZB		
													SLC38A2			POP5		
													VCAN			NUDCD3		
													EED			CCDC51		
													MTERF4			THOC5		
													PLCE1			PPP6C		
													TCTN2			BCS1L		
													FCER1A			ATP1B2		
													GEM			CCT4		
													CSTB			ELOA		
													ZFHX3			SEPT6		
													NPR1			BLMH		
													AEBP1			SCMH1		
													FOS			UBAP2L		
													EDIL3			TP53		
													R3HDM1			PAICS		
													DHX33			VPS26A		
													TP53BP1			CAPZA2		
													TUBE1			CDK5RAP1		
													SUSD1			PSMD13		
													ADGRG6			FLAD1		
													DDX59			ATP5O		
													SLF2			SLC12A2		
													PLD2			ZNF823		
													MYC			TMEM254		
													RASGEF1B			AASDHPPT		
													TP53BP2			UBA52		
													AMMECR1L			MAN2A1		
													SHQ1			HARS2		
													ILDR1			UBL7		
													KCTD14			INTS14		
													KLF10			MRPL30		
													WHAMM			VSIG10		
													FMNL2			GFM2		
													C9orf116			TARS		
													USP24			SNX11		
													STK17A			RABL3		
													ZNF160			TXNRD1		
													HINFP			CINP		
													ZDHHC13			RNF20		
													ZNF438			RPL10		
													B3GLCT			ACP2		
													KPNA5			ABCA1		
													ZC3H8			SRRM1		
													GIMAP4			NUCKS1		
													CENPW			MRPS14		
													MMP2			LAS1L		
													PLTP			COL4A1		
													TCF4			DHPS		
													PRSS23			DANCR		
													EPB41L2			PRRC2C		
													GNB4			SERPINB6		
													C17orf58			FXYD6		
													GLIPR2			FGF7		
													PLCB4			ELP6		
													SELENOW			STX5		
													SMYD2			COX6B1		
													MATN2			PIGC		
													VWF			BAG4		
													GSN			ZWINT		
													RAB7A			CD200		
													CMKLR1			TNPO1		
													ZBED8			TSFM		
													VAT1			HPF1		
													C14orf132			ZRANB2		
													MED4			SKIV2L2		
													CD55			NICN1		
													DDX49			DHX15		
													SPG11			TIMP2		
													GATAD2A			MB21D2		
													ZMIZ1			EMC4		
													HCFC2			WDR1		
													PLN			AL136370.1		
													ZNF436			NRDC		
													RPS21			TRMT61B		
													CDK16			CFH		
													EHD2			CTR9		
													PPP3CA			UPRT		
													CEP89			RPE		
													DMTF1			MED4		
													TCTN1			ZFAND1		
													KAT6A			CDS2		
													HERC1			EEF1B2		
													ABI2			PDCD10		
													CUL7			TRAPPC2		
													NKTR			ABT1		
													MED13L			AC024075.1		
													SYNE1			SUPT7L		
													ZNF462			SELENOF		
													SYNPO2			AC104794.4		
													SEMA4D			MBIP		
													SAMD9			MRPL2		
													SCML1			RPL4		
													CDK13			CCNB1		
													PSME4			NUP37		
													PHF11			ERICH5		
													ZBTB40			NRBF2		
													TPM4			PNRC2		
													FGFR1			ELF3		
													PTN			RBBP8		
													SEPT7			GGCT		
													CORO1C			PHF20		
													LYVE1			RFC5		
													GJA1			TAF7		
													TWF2			RBM39		
													RBX1			TBL1X		
													BAZ1A			IFNAR1		
													FAM160B1			ASPN		
													DDIT4L			FTO		
													SNRPA			DPM1		
													PYCR2			ZDHHC6		
													SLITRK4			SNRNP35		
													EBF1			FASTKD2		
													SAMD1			TCEAL9		
													ACVRL1			ESRRG		
													CD34			TNFAIP1		
													FGD5			LARP1		
													AC022150.4			TFG		
													ATL3			LINC02001		
													KIF2A			MRPL43		
													RBM19			ARFIP1		
													EXOSC3			NFIB		
													WASF1			C16orf62		
													MTA2			CPSF6		
													TTC39C			ZMYND11		
													MED14			CHMP5		
													S100A3			MCL1		
													C4orf47			ZNF106		
													AC104825.2			UTP6		
													CCNL1			CNOT1		
													TFF3			SUSD6		
													PRIMPOL			MAGEH1		
													COMMD6			RPL36AL		
													RPL13AP5			NMD3		
													ANGPTL1			ALDH18A1		
													IFIT3			SLC6A12		
													MAP3K20			RAC1		
													MAP4K5			MRPL51		
													ELF2			AC103769.1		
													CARD6			RNF113A		
													BTG2			SRSF10		
													CARD8.AS1			NRAS		
													RPL37A			PFN2		
													PRDX4			NUDT7		
													ZCCHC8			LSM1		
													MFAP3			TAPBPL		
													ICAM1			SPTLC2		
													SUPT20H			ATXN7L3B		
													AKAP8			BLZF1		
													SP4			NFU1		
													STAG1			ZNF429		
													CXCR4			EIF4EBP2		
													RWDD3			PSENEN		
													BBS9			MYO6		
													GTF3C4			PTGFRN		
													REV1			ERGIC2		
													DBNL			MRPS33		
													TLR2			RHOG		
													COPS7B			ZMAT2		
													ADAM17			RPL32		
													FBXL2			KIF13B		
													DISP1			TMEM245		
													VPS8			PAFAH2		
													SLC37A3			GSTA4		
													ARPC2			CORO1C		
													APBB2			OSER1.AS1		
													FNTA			KBTBD4		
													ZBTB5			R3HCC1L		
													BRD3			RSRC2		
													CCDC66			TADA1		
													SRGAP1			TRMT11		
													SPOUT1			MRPS5		
													TRIM59			COQ10B		
													MSL3P1			MCFD2		
													CRISPLD2			TNFAIP2		
													FOXN3			DRG2		
													TNFSF12			DNAJB12		
													TGFBI			THOC2		
													KLF5			TSC22D1		
													C1orf186			ADPRM		
													MFSD6			COX4I1		
													CSRP1			TMEM14A		
													OTUD5			ZW10		
													LMOD1			ANKRD17		
													RPL31			SH3RF1		
													RARS2			TSPAN18		
													IRF2BP2			SLC35B4		
													NRP1			SGCB		
													PFDN5			LMAN1		
													KDELR3			C5orf22		
													IL33			RAB5A		
													MAGEH1			BET1		
													PDGFD			RPS23		
													NORAD			POLR2I		
													SAMHD1			WDR54		
													ZNF610			MARCH7		
													CLUHP3			RAB14		
													MMD			RECQL		
													PLD3			SDHAF2		
													TGFBR2			RIOX2		
													FOXP1			RPF1		
													MAP3K7CL			LPIN2		
													ATP8B1			IFT43		
													FIBIN			RPS12		
													RBP7			HNRNPC		
													LYAR			OCIAD1		
													GUCY1A3			GGPS1		
													AFDN			DSTYK		
													NSD3			FBXO3		
													SWT1			SLC25A13		
													CHTOP			SON		
													AC026877.1			NMT1		
													FBXL12			CIR1		
													RNF40			TMEM209		
													ASPN			SCNM1		
													ZNF254			POLR2H		
													ICE1			MRPS23		
													USP15			ELOB		
													UCK2			BMP4		
													CTGF			METAP2		
													RPL35			TNFRSF10D		
													C15orf48			EXOC2		
													GNG11			TTC27		
													GABRP			ARMC1		
													RTL8B			LPAR6		
													YIPF5			PTBP3		
													C1QA			DSP		
													CAPN1			VRK3		
													NSMAF			CHCHD3		
													KIF1B			SSR3		
													SEMA6A			PTP4A2		
													N4BP1			MTFR1L		
													ANKRD27			RABGGTA		
													PLA2G4C			BEX4		
													CCND3			B4GALT5		
													RPAP2			CRNKL1		
													SPATS2			SEC11A		
													CHD6			UBR4		
													HERC3			CCDC25		
													TLE3			CUL1		
													HUNK			CFAP20		
													ZNF182			ATP6V1G1		
													UBP1			UBAC2		
													FBXO32			UBA7		
													GMEB1			PPP3CA		
													DHX57			POLR3K		
													ZNF589			ADK		
													METTL2B			NDUFS5		
													NOL6			TOX4		
													PCF11			HSPA9		
													DHX36			NUPL2		
													RBM11			LAMTOR4		
													DAPK1			TNFRSF19		
													MBP			SQOR		
													SLC9A6			PRMT1		
													LDB1			STK38		
													DENND1B			SDHD		
													AP1G2			TM2D3		
													SNHG3			CYP39A1		
													CUTC			OLA1		
													KRI1			CRYZL1		
													FUT10			RAP1GDS1		
													ZNF662			IL10RB		
													POLI			HMG20A		
													UBXN11			LARS2		
													BACE1			C15orf65		
													GMFG			METTL17		
													UBXN2A			BNIP1		
													ARRB1			INSIG2		
													KCNJ2			STX8		
													CHST15			MOSPD1		
													MORF4L1			TBC1D24		
													RBM26			THTPA		
													FBLN1			RPP30		
													H1F0			WBP1L		
													RPS24			NUDT21		
													TNFAIP8L2			KIAA1551		
													RPL27A			AEBP2		
																ZKSCAN1		
																USO1		
																SEMA3C		
																CTSK		
																BTN2A1		
																MATR3		
																VAMP8		
																PSMD14		
																MOB1A		
																ACTR2		
																TANK		
																UBE2H		
																POMP		
																SDHC		
																C12orf10		
																C17orf80		
																LRPPRC		
																ANAPC16		
																RPS13		
																RAB3GAP1		
																CCDC174		
																TBCE		
																SH2D4A		
																CTCF		
																NOL11		
																ATP2B4		
																RPS14		
																OLFML1		
																HSPA4		
																COX16		
																PARP2		
																GPRC5B		
																RNASEL		
																FAM136A		
																ARL4A		
																TMEM242		
																COX6A1		
																YIPF5		
																CSTF2		
																C14orf166		
																CCNH		
																UBE2G1		
																ACSL5		
																MTPN		
																RPS20		
																IL13RA1		
																TRIM13		
																AIMP1		
																OXSM		
																ACAD9		
																PPP6R3		
																LPIN3		
																MLEC		
																MRPL15		
																ATP5G3		
																ZDHHC4		
																TRPC4AP		
																PRMT5		
																C1orf123		
																THAP4		
																ANAPC11		
																TGS1		
																EIF2B4		
																UQCRH		
																TBC1D22B		
																SNX29		
																YIPF6		
																CALCOCO1		
																AHNAK		
																HDHD2		
																CD44		
																DCTN5		
																UAP1		
																MARS		
																MED7		
																NIP7		
																EIF4E2		
																CARD16		
																BNIP3L		
																DDX17		
																ADH5		
																SRSF3		
																CCNB1IP1		
																PAM		
																PEX11A		
																PREPL		
																NEDD1		
																CCT6A		
																RBM4B		
																AC005261.2		
																NCALD		
																CLDN12		
																PPP2R5C		
																SHOC2		
																PHACTR2		
																TACC1		
																RHBDD1		
																FAM110B		
																NUDT3		
																GMPR		
																KATNA1		
																SFT2D2		
																NEO1		
																CCNDBP1		
																DNAJA2		
																SLC25A17		
																PAX8		
																RNF146		
																COA7		
																COX7A2L		
																SMPDL3B		
																GTF3C2		
																METTL13		
																CCAR1		
																NOP2		
																MMS19		
																CWC27		
																SLX4IP		
																PDCL		
																RPS27A		
																SNAP23		
																LEPROTL1		
																PPME1		
																WSB1		
																ZNF24		
																SMIM7		
																HAT1		
																DNM1L		
																BZW2		
																GPATCH1		
																STXBP1		
																TWISTNB		
																CCDC126		
																BEX2		
																NDUFB4		
																TTI2		
																CCDC181		
																RUBCN		
																NAT10		
																TCTA		
																SNRPB2		
																DCTD		
																PJA2		
																EIF2AK1		
																AAMDC		
																BTG2		
																EIF2A		
																SURF4		
																GEMIN7		
																CLEC14A		
																GTF2H1		
																CNPY3		
																DHX8		
																TNFRSF21		
																DARS2		
																HEXA		
																ZDHHC5		
																TMEM173		
																KPNB1		
																RABEPK		
																CALM3		
																DPH3		
																SAMM50		
																PRDM4		
																TMEM127		
																SNAPC5		
																AL353152.1		
																MRPS22		
																PPIE		
																VPS45		
																POLE3		
																GARS		
																SCFD1		
																RBL2		
																PLPP5		
																HSF2		
																IFIT5		
																ATL2		
																KLHL20		
																MRTO4		
																PICALM		
																EDC3		
																GNPAT		
																CDC26		
																SCAF11		
																BCLAF1		
																CD58		
																RNF121		
																ABCC4		
																GTPBP4		
																TUG1		
																MKRN1		
																PPM1G		
																SPATS2L		
																ZNF317		
																EIF3A		
																ZNF791		
																CSRP1		
																RAC2		
																IQCK		
																SCRN1		
																ZNF766		
																CRYZ		
																AP3B1		
																TMEM126A		
																AC127024.4		
																SACM1L		
																HKR1		
																GOLT1B		
																GGCX		
																TMTC3		
																COMMD10		
																CROT		
																TES		
																ITGA2		
																RETREG3		
																NUSAP1		
																BCCIP		
																APOL6		
																MKS1		
																TARDBP		
																NOL8		
																LRRC40		
																HDAC8		
																SEC23IP		
																EIF2D		
																RAMP2		
																EEF1AKMT1		
																PLVAP		
																TIMM17A		
																STIM1		
																LAMTOR1		
																CNPY4		
																TASP1		
																ZNF165		
																EXOSC10		
																HNRNPU		
																MR1		
																ADGRL2		
																ZC3H15		
																VAPA		
																FIG4		
																CXCL16		
																RSPRY1		
																EXOSC1		
																PRKCD		
																AC007406.5		
																CASP7		
																SYT11		
																NOL9		
																SORBS2		
																DNAJB1		
																ZNF638		
																PITPNA		
																CDC5L		
																ATP1B3		
																CFL1		
																DPH5		
																QRSL1		
																STX17		
																IPO13		
																SNRPF		
																RNASEH1		
																COX4I2		
																FAXDC2		
																RBM8A		
																INTS12		
																RBMS3		
																FAM111A		
																ATP5H		
																EXTL2		
																RBBP9		
																HSPB11		
																FBXO8		
																TRIM5		
																WIPF2		
																SWAP70		
																PFKP		
																H6PD		
																MUT		
																ERICH6.AS1		
																WBP11		
																FAM104B		
																LSM6		
																CWC15		
																EXOC7		
																FKBP3		
																MPHOSPH6		
																PIGBOS1		
																RARB		
																COIL		
																PI4K2A		
																ZDHHC9		
																MLF1		
																ATP5L		
																SLC39A1		
																APH1A		
																ZNF468		
																CERS2		
																UFD1		
																CUL2		
																GPHN		
																PPCDC		
																ZNF652		
																SAP30BP		
																SIRT4		
																AC093673.1		
																ASCC1		
																CRELD1		
																CNOT4		
																RAB38		
																ADAT1		
																MTIF3		
																OMA1		
																KDELC2		
																INTS9		
																ETV3		
																ZNF207		
																ODF2		
																IPP		
																BCL10		
																ATRX		
																SLU7		
																COX14		
																MRPL32		
																LASP1		
																SNX1		
																DDX21		
																RPL37		
																SRFBP1		
																TGIF2		
																ADD3		
																RAB18		
																GLCE		
																OGT		
																CAST		
																PPHLN1		
																SSRP1		
																KLHL24		
																STN1		
																PYM1		
																PCID2		
																CWC22		
																LGALS8		
																VRK1		
																CKAP2		
																NCOA1		
																SLFN5		
																BECN1		
																MYCBP		
																LPP		
																PIK3IP1		
																STOML2		
																ARID1A		
																RABIF		
																LIMCH1		
																FAM206A		
																MGST2		
																GOLGB1		
																L3MBTL2		
																RNF7		
																PAPD4		
																ELP5		
																HEATR6		
																FN1		
																MIS12		
																PXK		
																HIKESHI		
																UBE2V2		
																PSME3		
																STXBP3		
																TMEM14B		
																MEIS1		
																AREL1		
																KIDINS220		
																MTIF2		
																ZBTB3		
																RBX1		
																PRPS1		
																PTPN3		
																GLYR1		
																COPS5		
																PPIG		
																NMNAT1		
																SLC44A1		
																RANBP6		
																FAM96A		
																DNTTIP2		
																TMEM116		
																ANKRD10		
																CD3G		
																ABCD4		
																ANK3		
																CD3E		
																FZD5		
																NAE1		
																ZSCAN21		
																PARP9		
																THG1L		
																PLSCR4		
																SMARCE1		
																ZNF826P		
																NDUFS4		
																CXorf56		
																NSMCE2		
																UBE2G2		
																ATP5J2		
																LSG1		
																EMC1		
																ZCCHC10		
																GTF3C6		
																TMEM44.AS1		
																SMIM26		
																BDH2		
																NUBP1		
																CLCC1		
																CISD2		
																RPS18P9		
																ADD1		
																PGM2		
																IPO9		
																SP1		
																TTI1		
																UBE4A		
																DCTN2		
																CLK1		
																AHCYL2		
																DTX3L		
																RPL6		
																NHLRC3		
																NEMF		
																TGFBR3		
																MNAT1		
																TAF8		
																C12orf45		
																FCGR3A		
																PHF23		
																TMEM168		
																DCAF16		
																SCUBE3		
																TNFAIP8		
																KRCC1		
																VEZF1		
																PNPLA8		
																MRPL22		
																SERF2		
																FAT1		
																SLC11A2		
																PDHX		
																AC005261.4		
																PMM1		
																ANXA11		
																GIGYF2		
																LAMC1		
																SCAMP1.AS1		
																FAM46A		
																RPARP.AS1		
																DNAJC7		
																UBE2W		
																RFC1		
																SPTAN1		
																DR1		
																NSL1		
																TMEM138		
																ZNF420		
																UBL4A		
																SMAP2		
																CTSZ		
																SERPINE1		
																C16orf54		
																FOXO1		
																TMEM97		
																PTPRA		
																LINC00847		
																GTF2A2		
																WDR75		
																UBXN4		
																MED28		
																C6orf203		
																JPT1		
																PSMG3		
																EP300		
																ARMCX3		
																TMLHE		
																LINC01278		
																SPCS2		
																DIXDC1		
																SLC25A20		
																TINF2		
																NCEH1		
																EXT2		
																MRPS35		
																SRSF2		
																MAVS		
																RPAIN		
																ACVR1		
																NMI		
																NAGK		
																DCAF11		
																GOSR1		
																CLNS1A		
																RPL7L1		
																DSCR3		
																RNF41		
																RIOK1		
																SUB1		
																SMC2		
																DCPS		
																EZH1		
																TMEM208		
																BLOC1S2		
																ASTE1		
																SNRNP27		
																STAM2		
																TMED5		
																MED10		
																MTF1		
																CWF19L1		
																OSCP1		
																EXOC4		
																ARL15		
																PPFIBP1		
																C11orf49		
																NUP107		
																METTL14		
																TERF2IP		
																RFX5		
																CRCP		
																AC012181.1		
																CHRNB1		
																HEXB		
																RETREG2		
																TMEM214		
																ST7		
																ZNF587B		
																PGAP2		
																XYLT2		
																PSMA3.AS1		
																FICD		
																DOLK		
																ZNF512		
																FOXRED2		
																SAE1		
																SF3B4		
																CGGBP1		
																CLCN3		
																PA2G4		
																BMS1		
																SNRPE		
																SLC39A10		
																CX3CL1		
																NASP		
																SPAG7		
																ARID2		
																SRA1		
																TBC1D19		
																STAG2		
																MAP3K13		
																BIRC3		
																AP3M2		
																PLCD4		
																TAF1B		
																ARMC8		
																AKAP13		
																UBXN2B		
																HERPUD2		
																PRRC1		
																LRP10		
																MYL6B		
																ZNF184		
																RGL1		
																C1orf198		
																SRBD1		
																SEC22B		
																NKIRAS1		
																RIOK2		
																CHD8		
																PRPF3		
																TLN1		
																SPRYD4		
																C3orf38		
																ANO10		
																DCUN1D1		
																NT5C2		
																G6PC3		
																TIPRL		
																ORC4		
																TVP23B		
																MRPS16		
																C7orf73		
																AC022415.1		
																AC106827.1		
																VCP		
																CNOT2		
																TEX264		
																PJA1		
																IFT46		
																RTN4IP1		
																OSBPL9		
																MYO1C		
																PTAFR		
																CHRAC1		
																KCTD6		
																CFDP1		
																ZNF433		
																MOB3A		
																ACTR3		
																FAM168B		
																SPIN1		
																DCTN6		
																LPXN		
																NUP54		
																ARL8B		
																THAP1		
																IMPA1		
																U2SURP		
																NELFCD		
																BRIX1		
																LIPT1		
																SFR1		
																SLC30A4		
																POLR1D		
																CLUAP1		
																MRPL21		
																GPBP1		
																HLTF		
																NRSN2.AS1		
																C12orf57		
																PIH1D1		
																HMBOX1		
																RBM48		
																ZNF670		
																SLC35A1		
																EFL1		
																C3AR1		
																USE1		
																TPM4		
																FAM192A		
																INTS13		
																PSMD6		
																ZNF627		
																DOCK1		
																TMEM167A		
																SETX		
																ORMDL1		
																MYD88		
																RAB7A		
																NDUFA1		
																LRRFIP1		
																ORC5		
																USP3		
																ANGPT1		
																ITCH		
																RAB11FIP2		
																PHKB		
																EML4		
																POLH		
																HILPDA		
																SMARCA2		
																NUP85		
																ZNF3		
																TPM1		
																MMGT1		
																IWS1		
																GART		
																C11orf1		
																DDX18		
																SRPK2		
																FKBP15		
																NABP2		
																ZSCAN16		
																MPHOSPH10		
																KYAT1		
																SLC25A25.AS1		
																IL7R		
																IFI16		
																DYNC1H1		
																PHLDB2		
																CCND2		
																NDUFB3		
																ATRN		
																ZNF350		
																FLT1		
																RNF38		
																STAT6		
																PTK2B		
																ABCE1		
																TSC1		
																CD93		
																LZIC		
																TP53INP1		
																FGFR1OP2		
																CDC42SE1		
																RAB8B		
																GALK2		
																GSTZ1		
																DPY30		
																B4GALT4		
																ATP10D		
																PEX3		
																C12orf65		
																MCAM		
																PFDN2		
																THSD7A		
																MTDH		
																KLHL12		
																PARVA		
																PECR		
																NBN		
																ZNF277		
																TBCCD1		
																PTPRF		
																NSUN4		
																CBR4		
																TMEM18		
																GTF3C3		
																GNAI3		
																HUS1		
																AC020916.1		
																NUP62CL		
																GOLGA7		
																APOO		
																OSGEPL1		
																SLC16A10		
																SP110		
																USP40		
																MRPL35		
																DDX10		
																INTS4		
																KANSL3		
																TBC1D23		
																RAB31		
																USP7		
																ZNF331		
																ZNF33A		
																VPS29		
																CEBPZ		
																SMIM30		
																RNF19A		
																YME1L1		
																CHCHD4		
																CTPS1		
																C20orf196		
																PDIA5		
																SETD3		
																FUT11		
																GID8		
																CDK4		
																PTDSS1		
																CADM1		
																CASP3		
																ZFAND6		
																DCP2		
																TRAPPC2L		
																USP16		
																RNF10		
																MET		
																EXOC1		
																TYW1		
																RALBP1		
																ACVR1B		
																ZNF644		
																PNPT1		
																RNPEP		
																MFHAS1		
																ZNF69		
																MOSPD2		
																TBK1		
																GNB1		
																CFL2		
																PIGO		
																MID1		
																MED1		
																ASH1L		
																MOGS		
																CHMP3		
																RAB11FIP1		
																NDUFS1		
																ENSA		
																ISG20L2		
																PNKD		
																IFT74		
																NFKB1		
																KCTD20		
																LRRC57		
																ARL14EP		
																KLF11		
																TTF1		
																HMGB3		
																TAF11		
																BPTF		
																NUP35		
																PRKAA1		
																MTERF1		
																RIOK3		
																NUP88		
																TRMT10B		
																ZNF143		
																QRICH1		
																AC092279.1		
																AMD1		
																TMEM230		
																CDC16		
																PDSS2		
																MGEA5		
																PDP1		
																KIAA1217		
																WBP4		
																SSBP2		
																TCF4		
																MIEF1		
																USP9X		
																SLTM		
																PUM2		
																CIAO1		
																KLF7		
																CDKAL1		
																AC007114.1		
																EI24		
																ZFX		
																NTPCR		
																KDM5A		
																EAF1		
																TSNAX		
																DSN1		
																CRY2		
																TRMT10C		
																UNG		
																CHTF8		
																GLT8D1		
																YTHDF1		
																TMEM170A		
																AC005288.1		
																RINT1		
																AC018904.1		
																NTMT1		
																SNAPIN		
																NAA40		
																RBM5		
																COPS2		
																MRPS11		
																KNSTRN		
																AP3S2		
																TPGS2		
																ZNF45		
																WDR53		
																HNRNPR		
																PREB		
																PPARG		
																SIGMAR1		
																SLC20A1		
																ZNF613		
																PSMC6		
																COG2		
																CDC40		
																LNPEP		
																LRRC28		
																RBP1		
																TMEM126B		
																KIAA0319L		
																EXOSC2		
																STAMBP		
																NRAV		
																C11orf68		
																YAE1D1		
																PPP1R12A		
																THUMPD3		
																DDX46		
																SFXN3		
																PGM3		
																TRAPPC3		
																OPTN		
																PPP1R3B		
																GBF1		
																SELL		
																LINC00963		
																CSTF3		
																TRIP11		
																SCP2		
																DDX58		
																HUWE1		
																SPPL3		
																POLR2J		
																ZNF253		
																RNF170		
																MEGF9		
																MANBA		
																GSKIP		
																METTL3		
																DENND4C		
																HYLS1		
																IFT88		
																KIAA0368		
																BTBD10		
																UGGT1		
																PAK1		
																HP1BP3		
																HGSNAT		
																TRIB1		
																LIAS		
																SYAP1		
																NIPBL		
																TMX3		
																RBM18		
																TOMM22		
																TMTC4		
																SF3A1		
																AP5M1		
																CYTIP		
																CARHSP1		
																PNISR		
																FASTKD1		
																ABHD5		
																FOSL2		
																RWDD2A		
																EIF5		
																CKAP4		
																BUD23		
																MAPK10		
																DRAM1		
																NCK1		
																FOXO3		
																AMZ2		
																SAR1B		
																RNF141		
																ALKBH1		
																TXNDC17		
																UTP14A		
																MORF4L1		
																ST13		
																C1orf162		
																PPP2R3A		
																SMIM12		
																HLF		
																HNF1A.AS1		
																WARS2		
																RPIA		
																WDSUB1		
																MRPL42		
																ARPC2		
																DDX19A		
																DAG1		
																PRKAB1		
																AP001157.1		
																TFCP2		
																WASF2		
																RAF1		
																RCC1		
																SERPINH1		
																RAB36		
																TUFT1		
																C20orf194		
																SLC25A26		
																SLC25A12		
																HECTD3		
																AC009403.1		
																SLC5A6		
																RAD51.AS1		
																MMP2		
																NPM1P27		
																HMGXB4		
																SMYD3		
																SART3		
																37104		
																ZNF189		
																PDCD6IP		
																DNMBP		
																ENY2		
																GTF2E1		
																ATG4C		
																BCAP29		
																TMEM17		
																NUP133		
																SRPK1		
																PMS2		
																NPEPPS		
																CNEP1R1		
																SMARCAD1		
																C6orf89		
																ZNF260		
																ZFYVE1		
																DNAJC14		
																KPNA3		
																PITRM1		
																KLHL28		
																FANCL		
																ARHGEF9		
																LIX1L		
																HDDC2		
																ANKRD46		
																NUDT15		
																PARG		
																ATP9A		
																PLCG2		
																MRE11		
																UBE2D3		
																NUP62		
																LARP4		
																ANKRA2		
																BTF3L4		
																UBE2Z		
																SEC61B		
																ARF3		
																NOC3L		
																NUP188		
																ZNF35		
																PTH2R		
																MRPL40		
																WSB2		
																MED23		
																FUNDC2		
																PRKAR2A		
																LSM10		
																CWH43		
																LTBP1		
																KDM1A		
																ICA1		
																ATG4A		
																CD109		
																RFC3		
																SNUPN		
																NAPG		
																MOV10		
																NME1		
																FKBP7		
																ARV1		
																PSKH1		
																MIA3		
																THNSL1		
																PTPRC		
																SMARCA1		
																STT3B		
																BUD31		
																ZBTB38		
																FBXO36		
																TM9SF3		
																GMFB		
																ZNF395		
																HPS4		
																GNAQ		
																ARPP19		
																COG7		
																NT5DC3		
																RAB34		
																ZNF83		
																TIMM9		
																CCDC80		
																PRPF40A		
																ARMCX2		
																PAIP2B		
																FHIT		
																LMCD1		
																CREB3L4		
																CWF19L2		
																GTF2H3		
																ZC2HC1A		
																TOE1		
																ITGB5		
																TMEM39B		
																GFRA1		
																SGF29		
																PPP1R12B		
																SLC25A38		
																RAD1		
																GPR143		
																UBR2		
																TMEM107		
																PI4KB		
																HECTD1		
																POLR1B		
																MBD4		
																TRIP12		
																FLNB		
																KTN1		
																G3BP1		
																CRTC2		
																STX7		
																MCTS1		
																VPS36		
																KANK1		
																DCAF8		
																NR3C2		
																ZNF576		
																TM2D2		
																SEC22A		
																ZNF213.AS1		
																PAN2		
																ACTR8		
																DCUN1D4		
																PRTFDC1		
																TATDN1		
																AL391834.2		
																RPAP3		
																ICMT		
																NME7		
																HNRNPAB		
																SNTB2		
																AC016831.5		
																MPI		
																TPR		
																LRRC8A		
																CHD2		
																ZNF133		
																EPS15		
																ZYX		
																CRISPLD2		
																PCM1		
																SMC5		
																ZNF559		
																SGPP2		
																ADPRHL2		
																ELOC		
																TIGAR		
																NR1H3		
																TTC39C		
																PLBD1		
																FERMT2		
																RTF1		
																LRRC42		
																PSMA1		
																HNRNPH3		
																SENP2		
																NKIRAS2		
																FKBP14		
																RFWD3		
																NREP		
																MPZL1		
																AL162578.1		
																PPP4R1		
																UEVLD		
																EXD2		
																CTTNBP2NL		
																BLCAP		
																KLHL18		
																SLC38A7		
																EPM2AIP1		
																HARS		
																JMJD1C		
																BIRC2		
																NDUFA9		
																URM1		
																FBL		
																ELP2		
																CASP8		
																MAPKAPK5.AS1		
																CACYBP		
																CEBPZOS		
																DHFR2		
																WAC		
																C17orf75		
																WASHC5		
																CBLL1		
																DDB2		
																TRIM22		
																ATXN1L		
																GPX8		
																KRBOX4		
																FGF13		
																TOX		
																MLH3		
																TNKS2		
																CLIC2		
																TRNAU1AP		
																POLR2F		
																MPDZ		
																WDYHV1		
																ANO6		
																C5orf51		
																AC125257.1		
																TOMM20		
																NUP214		
																CNST		
																SELP		
																FARSA		
																ZBTB4		
																SETD2		
																PIP5K1A		
																PPIH		
																USP39		
																IFT122		
																CPD		
																POGK		
																IBTK		
																FAM120AOS		
																IGF1R		
																RSBN1		
																CHST3		
																EXOSC9		
																PDGFRA		
																FAM13A		
																TRA2B		
																SCAPER		
																GABPB2		
																CCDC90B		
																TRMO		
																PIGF		
																GPN3		
																LDB2		
																PTPRM		
																ZNF44		
																TRO		
																STARD3NL		
																ZNF480		
																GTPBP8		
																GNA13		
																MYOF		
																FNIP1		
																KBTBD2		
																ZBTB44		
																SSU72		
																WDR12		
																USF3		
																CMSS1		
																MKKS		
																BNC2		
																MOB3B		
																PHF3		
																STAU2		
																ZSWIM1		
																BSDC1		
																DISP1		
