pval	A	s.t..oConditionAKI	s.t..oConditionRef	gene	fdr
7.63188975641674e-53	0.0328019891820569	0	0.0433420011910307	AC007038.1	2.19126818686237e-48
6.66298395373686e-23	0.0138738542240757	2.99494672706402e-06	0.492656382384606	AC007099.1	1.75609605084689e-18
2.79670422565149e-22	0.0103273612929853	0.000113117706532107	0.419725393459216	AC007192.2	7.3441452965608e-18
2.76141167914711e-20	0.0297581255345422	0	0.00895075267673373	AC007262.2	7.15923591935681e-16
9.88641119588814e-294	0.144939805625017	0	0	AC007319.1	3.08021027219091e-289
1.98896926966521e-52	0.0288677469051751	0	0	AC007344.1	5.70655173159645e-48
2.08193262045496e-192	0.17131686777352	0	0	AC007364.1	6.41276885752536e-188
8.47000022609749e-55	0.0819761837610667	0	0	AC007388.1	2.43961416512286e-50
1.21114784307791e-45	0.0176603907123134	0.000198682053148602	1.54058749834984e-06	AC007448.3	3.43747980822372e-41
1.37546302118198e-298	0.0448215201589961	0	0.000177436303997636	AC007656.1	4.28718069072212e-294
7.77134528220013e-39	0.0195180043100984	0	0	AC007906.2	2.17317899471444e-34
1.69148997930999e-116	0.016365621804486	7.64041734091503e-06	0.0528303144153999	AC007923.4	5.11134441947894e-112
1.92421069353734e-210	0.195985335789436	0	0	AC008014.1	5.94523377982232e-206
1.55500417651156e-29	0.026960699878778	4.63922237055603e-05	0.423549664498782	AC008074.1	4.2237023442407e-25
2.18470166180097e-26	0.0208053765698003	0	0	AC008415.1	5.85543739395896e-22
2.0664552061016e-279	0.0399387510160916	0	0	AC008514.1	6.43142853795002e-275
3.89397979868476e-33	0.0108356283992955	0.000864878360199051	0.343586535355823	AC008731.1	1.07174005999201e-28
1.27680610494845e-34	0.0119528407641753	0	0.170885780983485	AC008735.2	3.52819830980406e-30
3.21258963981918e-123	0.0158865447587657	0	0.0187000608371612	AC008937.2	9.7325403138322e-119
1.41910181852876e-204	0.094267451785599	0.00238676908767665	0	AC009053.3	4.38034158325272e-200
1.42939265730382e-18	0.0261822832322299	0.00171172386356527	0.501505764361543	AC009133.1	3.66110341315228e-14
1.62607967416283e-78	0.026538967998744	0.00310559114837106	0	AC009271.1	4.80701673276016e-74
2.25519922741853e-131	0.0180521696127699	0	0.076687292115788	AC009313.1	6.84971661343831e-127
3.02624225457708e-54	0.0182873870277593	0	0.578875166603246	AC009554.1	8.70801208754555e-50
7.68587821528364e-53	0.0709810638039102	2.94834833380886e-06	0.00139756204585717	AC009690.1	2.20669249439009e-48
1.65368474723686e-78	0.0348252487670192	0	0.431591888646764	AC009690.2	4.88845748130688e-74
2.23492949693649e-69	0.0199902711295818	0.00358629631045415	0.0926427435670994	AC009948.1	6.55437773566564e-65
9.58321185196791e-12	0.0107116162694056	0	0.274598151726386	AC010127.1	2.29345426041296e-07
2.07343690861108e-19	0.0212827238972666	2.64891219491359e-05	0	AC010168.1	5.34366160087248e-15
2.09523587929575e-53	0.0164926082498681	0	0.714671411436508	AC010451.1	6.02149839350806e-49
5.84495374216564e-14	0.0179875142878728	0	0.0444784607549444	AC010542.3	1.43943675808313e-09
1.07456634665993e-33	0.0230705899517725	0	0.0677872039125673	AC010894.3	2.96214959120276e-29
1.49387504363749e-38	0.0241267461609841	1.63600751451609e-06	0.00182291252352779	AC010997.3	4.17403625942751e-34
